,Company size,Total views,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total),Industry,Total followers,Job function,Sponsored followers,Organic followers,Seniority,Location,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
0,1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2-10,2768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11-50,2402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,51-200,2146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,201-500,1417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,501-1000,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1001-5000,2016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5001-10000,894.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,10001+,6088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,03/01/2021,37.0,23.0,1.0,1.0,0.0,0.0,0.054054054054054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,03/02/2021,38.0,23.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,03/03/2021,163.0,101.0,2.0,8.0,0.0,2.0,0.0736196319018405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,03/04/2021,50.0,30.0,0.0,1.0,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,03/05/2021,246.0,144.0,16.0,8.0,0.0,1.0,0.1016260162601626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,03/06/2021,70.0,45.0,0.0,1.0,0.0,0.0,0.0142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,03/07/2021,21.0,16.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,03/08/2021,23.0,15.0,0.0,2.0,0.0,0.0,0.0869565217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,03/09/2021,16.0,13.0,1.0,0.0,0.0,0.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,03/10/2021,197.0,148.0,7.0,8.0,0.0,1.0,0.0812182741116751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,03/11/2021,183.0,131.0,2.0,3.0,0.0,0.0,0.0273224043715847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,03/12/2021,38.0,29.0,2.0,1.0,0.0,0.0,0.0789473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,03/13/2021,314.0,144.0,14.0,12.0,0.0,1.0,0.0859872611464968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,03/14/2021,255.0,140.0,6.0,3.0,0.0,0.0,0.0352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,03/15/2021,80.0,47.0,7.0,2.0,0.0,0.0,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,03/16/2021,75.0,37.0,8.0,1.0,2.0,0.0,0.1466666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,03/17/2021,67.0,21.0,3.0,0.0,0.0,0.0,0.044776119402985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,03/18/2021,45.0,28.0,1.0,0.0,0.0,0.0,0.0222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,03/19/2021,174.0,20.0,5.0,1.0,0.0,0.0,0.0344827586206896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,03/20/2021,40.0,15.0,0.0,0.0,0.0,1.0,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,03/21/2021,19.0,11.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,03/22/2021,10.0,8.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,03/23/2021,14.0,13.0,2.0,0.0,0.0,0.0,0.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,03/24/2021,128.0,69.0,3.0,5.0,0.0,2.0,0.078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,03/25/2021,96.0,62.0,2.0,2.0,0.0,2.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,03/26/2021,31.0,24.0,0.0,1.0,0.0,0.0,0.032258064516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
