Location,Total followers,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Bengaluru Area, India",566,,,,
"New Delhi Area, India",477,,,,4774.0
"Mumbai Area, India",395,,,,
"Hyderabad Area, India",383,,,,
"Chennai Area, India",294,,,,4774.0
"Kolkata Area, India",182,,,,
"Pune Area, India",108,,,,
"Melbourne, Australia",138,,,,
"Sydney, Australia",89,,,,
"Lahore, Pakistan",89,,,,
"São Paulo Area, Brazil",81,,,,
"Johannesburg Area, South Africa",81,,,,
"Ahmedabad Area, India",69,,,,
"Gurgaon, India",62,,,,
"Kalyan Area, India",58,,,,
"Greater Jakarta Area, Indonesia",54,,,,
"Nagpur Area, India",50,,,,
"Noida Area, India",50,,,,
Singapore,46,,,,
Greater New York City Area,46,,,,
"Jaipur Area, India",42,,,,
"Pandharpur Area, India",42,,,,
"Paris Area, France",42,,,,
"Cochin Area, India",38,,,,
"Indore Area, India",38,,,,
"Istanbul, Turkey",34,,,,
"London, United Kingdom",31,,,,
"Chandigarh Area, India",31,,,,
"Toronto, Canada Area",31,,,,
Algeria area,31,,,,
"Bhubaneshwar Area, India",27,,,,
"Tiruppur Area, India",27,,,,
"Lucknow Area, India",27,,,,
"Parkersburg, West Virginia Area",27,,,,
"Vishakhapatnam Area, India",27,,,,
"Dehra Dun Area, India",27,,,,
San Francisco Bay Area,27,,,,
"Vijayawada Area, India",27,,,,
"Coimbatore Area, India",23,,,,
"Calgary, Canada Area",23,,,,
"Thiruvananthapuram Area, India",23,,,,
"Lisbon Area, Portugal",23,,,,
"Kuala Lumpur, Malaysia",19,,,,
"Auckland, New Zealand",19,,,,
"Kansas City, Missouri Area",19,,,,
Dallas/Fort Worth Area,19,,,,
"Belo Horizonte Area, Brazil",19,,,,
"Vadodara Area, India",19,,,,
"Warsaw, Masovian District, Poland",19,,,,
"Madrid Area, Spain",19,,,,
"Birmingham, United Kingdom",19,,,,
"Bhimavaram Area, India",19,,,,
"Selangor, Malaysia",19,,,,
"Federal Capial &AJK, Pakistan",19,,,,
"Frankfurt Am Main Area, Germany",15,,,,
Washington D.C. Metro Area,15,,,,
"Varanasi Area, India",15,,,,
"Belagavi Area, India",15,,,,
"Rabat Prefecture, Morocco",15,,,,
"Salem Area, India",15,,,,
"Montreal, Canada Area",15,,,,
"Kitchener, Canada Area",15,,,,
Hong Kong,15,,,,
"Mysuru Area, India",15,,,,
"Surat Area, India",15,,,,
"Bhopal Area, India",15,,,,
"Cape Town Area, South Africa",15,,,,
"Milan Area, Italy",15,,,,
"Munich Area, Germany",15,,,,
"Patna Area, India",15,,,,
"Berlin Area, Germany",15,,,,
"Copenhagen Area, Capital Region, Denmark",15,,,,
"Southern Punjab Multan, Pakistan",15,,,,
"Tunis Governorate, Tunisia",11,,,,
"Kanpur Area, India",11,,,,
Greater Seattle Area,11,,,,
"Casablanca Prefecture, Morocco",11,,,,
"Mahdia Governorate, Tunisia",11,,,,
"Ankara, Turkey",11,,,,
"Kebili Governorate, Tunisia",11,,,,
"Tirupati Area, India",11,,,,
"Brisbane, Australia",11,,,,
"Ontario, Canada",11,,,,
"Gdansk, Pomeranian District, Poland",11,,,,
"Raleigh-Durham, North Carolina Area",11,,,,
"Agra Area, India",11,,,,
"Curitiba Area, Brazil",11,,,,
"Fortaleza Area, Brazil",11,,,,
"West Java Province, Indonesia",11,,,,
"Machilipatnam Area, India",11,,,,
"Calicut Area, India",11,,,,
"Surabaya Area, East Java, Indonesia",11,,,,
"Allahabad Area, India",11,,,,
"Aligarh Area, India",11,,,,
Greater San Diego Area,11,,,,
"Bucharest, Romania",11,,,,
"Parbhani Area, India",11,,,,
"Porto Alegre Area, Brazil",11,,,,
