Date,Sponsored followers,Organic followers,Total followers
03/01/2021,0,0,0
03/02/2021,0,0,0
03/03/2021,0,0,0
03/04/2021,0,0,0
03/05/2021,0,0,0
03/06/2021,0,0,0
03/07/2021,0,0,0
03/08/2021,0,0,0
03/09/2021,0,0,0
03/10/2021,0,1,1
03/11/2021,0,1,1
03/12/2021,0,0,0
03/13/2021,0,2,2
03/14/2021,0,2,2
03/15/2021,0,1,1
03/16/2021,0,1,1
03/17/2021,0,1,1
03/18/2021,0,0,0
03/19/2021,0,0,0
03/20/2021,0,0,0
03/21/2021,0,0,0
03/22/2021,0,1,1
03/23/2021,0,2,2
03/24/2021,0,0,0
03/25/2021,0,0,0
03/26/2021,0,1,1
03/27/2021,0,1,1
03/28/2021,0,0,0
03/29/2021,0,0,0
03/30/2021,0,1,1
03/31/2021,0,1,1
04/01/2021,0,0,0
04/02/2021,0,0,0
04/03/2021,0,6,6
04/04/2021,0,3,3
04/05/2021,0,2,2
04/06/2021,0,3,3
04/07/2021,0,5,5
04/08/2021,0,10,10
04/09/2021,0,4,4
04/10/2021,0,14,14
04/11/2021,0,0,0
04/12/2021,0,1,1
04/13/2021,0,1,1
04/14/2021,0,3,3
04/15/2021,0,5,5
04/16/2021,0,0,0
04/17/2021,0,1,1
04/18/2021,0,1,1
04/19/2021,0,11,11
04/20/2021,0,0,0
04/21/2021,0,3,3
04/22/2021,0,16,16
04/23/2021,0,7,7
04/24/2021,0,1,1
04/25/2021,0,3,3
04/26/2021,0,5,5
04/27/2021,0,8,8
04/28/2021,0,7,7
04/29/2021,0,3,3
04/30/2021,0,2,2
05/01/2021,0,10,10
05/02/2021,0,7,7
05/03/2021,0,5,5
05/04/2021,0,12,12
05/05/2021,0,9,9
05/06/2021,0,6,6
05/07/2021,0,11,11
05/08/2021,0,8,8
05/09/2021,0,9,9
05/10/2021,0,13,13
05/11/2021,0,9,9
05/12/2021,0,4,4
05/13/2021,0,11,11
05/14/2021,0,21,21
05/15/2021,0,18,18
05/16/2021,0,24,24
05/17/2021,0,18,18
05/18/2021,0,57,57
05/19/2021,0,60,60
05/20/2021,0,49,49
05/21/2021,0,41,41
05/22/2021,0,90,90
05/23/2021,0,23,23
05/24/2021,0,25,25
05/25/2021,0,9,9
05/26/2021,0,60,60
05/27/2021,0,45,45
05/28/2021,0,25,25
05/29/2021,0,51,51
05/30/2021,0,34,34
05/31/2021,0,15,15
06/01/2021,0,13,13
06/02/2021,0,17,17
06/03/2021,0,23,23
06/04/2021,0,18,18
06/05/2021,0,7,7
06/06/2021,0,6,6
06/07/2021,0,7,7
06/08/2021,0,6,6
06/09/2021,0,15,15
06/10/2021,0,11,11
06/11/2021,0,14,14
06/12/2021,0,14,14
06/13/2021,0,10,10
06/14/2021,0,7,7
06/15/2021,0,8,8
06/16/2021,0,7,7
06/17/2021,0,8,8
06/18/2021,0,6,6
06/19/2021,0,5,5
06/20/2021,0,3,3
06/21/2021,0,4,4
06/22/2021,0,4,4
06/23/2021,0,9,9
06/24/2021,0,8,8
06/25/2021,0,5,5
06/26/2021,0,3,3
06/27/2021,0,4,4
06/28/2021,0,2,2
06/29/2021,0,1,1
06/30/2021,0,2,2
07/01/2021,0,2,2
07/02/2021,0,7,7
07/03/2021,0,5,5
07/04/2021,0,3,3
07/05/2021,0,5,5
07/06/2021,0,1,1
07/07/2021,0,1,1
07/08/2021,0,1,1
07/09/2021,0,1,1
07/10/2021,0,0,0
07/11/2021,0,3,3
07/12/2021,0,0,0
07/13/2021,0,1,1
07/14/2021,0,2,2
07/15/2021,0,1,1
07/16/2021,0,2,2
07/17/2021,0,5,5
07/18/2021,0,6,6
07/19/2021,0,1,1
07/20/2021,0,8,8
07/21/2021,0,2,2
07/22/2021,0,3,3
07/23/2021,0,2,2
07/24/2021,0,4,4
07/25/2021,0,1,1
07/26/2021,0,2,2
07/27/2021,0,3,3
