,Update title,Update type,Created date,Audience,Impressions,Clicks,Click through rate (CTR),Likes,Comments,Shares,Engagement rate,Content Type
0,"🏆 FestMan Power BI Data Challenge Winners 🏅

We are super excited to announce the WINNER of the Mobile Subscribers Data Challenge.

The winner of the February Edition of our Power BI Data challenge is 🥇 Dharmendar S 🥇.  

We had a tough time selecting the winner because of the awesome submissions we received. 

👏👏👏 Congratulations Dharmendar S for winning the first badge for 2022.

​
🕺The runners up are:

Santhanalakshmi Ponnurasan
Dinesh Kumar Mani
Papri Banerjee
Rupal Mukhi

Congratulations to all participants and thank you for participating.

#powerbidesktop #dashboards #dataanalytics",Organic,02/25/2022,All followers,2604,2020,0.7757296562194824,39,12,4,0.7968509793281555,Document
1,"🔔 FestMan Data Challenge | Mobile Subscribers Challenge

📢 Join our January Power BI Challenge - You still have the opportunity to join the Mobile Subscribers Data challenge.

In this Challenge, you will be working with a Global Telecommunication Company which is experiencing a high subscribers churn rate.

Your task is to analyze their subscriber's data and provide appropriate recommendations to help the company in its retention strategy.

Join the challenge and win a Digital Badge and a Certificate🏆.

Jump in and flex your Power BI and Data visualization skills here:👉bit.ly/festmanchallenge

So far, we've received amazing submissions from these analysts.

Oyekola Damilare
Kalyan Kumar Reddy Kethireddy
Dinesh Kumar Mani
https://lnkd.in/db9Bqf3x
Surashmi Ghosh
Shilpa Shiudkar
Richard Friday

#powerbi #powerbidesktop #dashboards",Organic,02/05/2022,All followers,3285,2242,0.682496190071106,44,3,1,0.6971080899238586,Document
2,"Do you want to transition into Data Science and Analytics? Thomas Festus has some tips for you.

It is entirely possible to transition into Data Science and Analytics from any field but you need to put in the work.

Whiles learning and looking for opportunities for that transition, these are some of the few things you can do to keep your skills fresh and set yourself up for success.

👉Build a strong online presence on LinkedIn. LinkedIn is a powerful platform that can help you to build a strong brand and unlock opportunities to realize your career goals.

To cut through the noise, make sure your profile is up to date and you are visible.

👉Share your work and build your portfolio.

It's not enough to have an online presence. You need to constantly share your work and how you are growing in the field.

Sharing your work makes you visible, helps you build social proof, and makes people develop trust in your skills.
People have recommended me for roles and training opportunities not because they have worked with me before but because they have seen my work.

👉Join or build a community to grow your skills.

To keep your skills up to date and shorten your learning curve, join a tech community. If one doesn't exist, you can create one to share and grow your skills.


👉Develop your transferable skills.

To begin a career in data analytics, you need to develop soft skills such as problem-solving, attention to detail, communication, team working, and analytical skills.

You can easily develop these skills in different areas of your career.

👉Work on projects. In the quest to make a transition, you may be tempted to focus on learning a whole lot of stuff to make sure you don't miss out on any opportunity.

At some point, you need to stop learning and work on projects. Working on projects will help to test your skills and measure your progress.

Participate in Data hackathons and Data challenges to build your skills.

You can join our monthly Data challenge at FestMan™ Learning Hub.

These are some of the few things that helped me along the way. I believe they can help you as well.

Cheers 🥂

#dataanalytics #datascience #learning",Organic,01/29/2022,All followers,2087,46,0.022041207179427147,24,0,1,0.03402012586593628,Text
3,"Free webinar | Python for Data Science

Do you want to begin your journey in Data Science and analytics? Join us for an introductory session on how to get started with Python.

Meet our expert instructor, Emmanuel O. Darko. Emmanuel is a Data Scientist at Nationwide. He will share his story on how he began his career in Data Science and also help you to get started by learning Python.

Webinar details:
Date: Jan 29, 2022
Time: 4pm UTC
Mode: Online | Live

Register now to secure your seat: bit.ly/festman_python

#datascience #python #dataanalytics",Organic,01/26/2022,All followers,1972,70,0.03549695760011673,42,2,11,0.0633874237537384,Document
4,"🔔 FestMan Data Challenge | Mobile Subscribers Challenge

We are excited to finally launch the FestMan™ Learning Hub Power BI Data Challenge, January 2022 edition.

This challenge is an exciting one🕺.

You will be working with a Global Telecommunication Company which is experiencing a high subscribers churn rate.


Your task is to analyze their subscriber's data and provide appropriate recommendations to help the company in its retention strategy

Join the challenge and win a Digital Badge and a Certificate🏆.

Jump in and flex your Power BI and Data visualization skills here:👉bit.ly/festmanchallenge

#powerbidesktop #dashboards #festmandatahack",Organic,01/23/2022,All followers,2227,145,0.06511001288890839,37,0,0,0.08172429352998734,Document
5,"We are excited to have Federico Pastor join our Data School.

Federico is a business intelligence Consultant with a wide range of experience in BI, creative report development and Data storytelling.

He is joining us as the Lead Instructor for our Power BI training and Bootcamps.

Welcome to the Team Federico Pastor .

 #powerbi #dashboards ",Organic,01/22/2022,All followers,4720,237,0.050211865454912186,118,38,0,0.08326271176338196,Celebration
6,"Top 5 tips for writing an amazing Resume in 2022

It is a new year and most Job seekers will be looking forward to landing their dream jobs. 

In this post, we share 5 tips you need to incorporate on your resume for success this year.

1. Customize your resume for every role you apply for. Avoid generic Resume. Make sure to tailor your resume for the role you are applying for. Do not use the same resume to apply for different roles.

2. Use Action words to highlight accomplishments. Do not just list your duties or responsibilities in your professional experience section. Use action words to highlight your achievements and accomplishments.

3. Quantify your achievements. Humans are moved by numbers. Quantify your achievements as much as possible.  For example, Increased Sales by implementing social media campaigns. This can be written as "" Increased sales by 20% by implementing...""

4. Avoid clichés: To write a winning resume, avoid clichés such as result-driven, team player, etc. Replace any overused clichés with powerful statements that provide evidence of your skills and competencies.

5. Highlight your key skills, values, and transferable skills and align them with the requirements of the role. You may have a lot of skills and experiences but you need to include the ones that are relevant to the role.

What other tip would you want to share? Share with us in the comment.


#careeradvice #cvtips #jobsearching",Organic,01/09/2022,All followers,2787,56,0.020093290135264397,36,5,2,0.03552206605672836,Text
7,"If becoming a Data Analyst is one of your career goals in 2022, then this is our recommendation:

Learn these in-demand data analytics tools:
• Microsoft Excel
• SQL
• Microsoft Power BI
• Python


Develop soft skills such as:
• Problem solving, 
• Communication skills
• Team working skills. 
• Attention to details

You can learn these skills in so many ways and but If you are looking for a structured and supportive environment to learn quickly, then join our 12 weeks online Bootcamp.

Our Data Analytics Bootcamp focuses on in-demand skills such as Microsoft Power BI, SQL, Python and Modern Excel.

You will meet certified Instructors who are experienced and passionate to support you on every step of the way.

Register here for a 40% discount 👉bit.ly/becomeanalyst


Got questions? Join our free info session this Saturday to learn more and meet our instructors.

Register : bit.ly/festmaninfo

 #dataanalytics #powerbidesktop #datascience ",Organic,01/07/2022,All followers,2153,137,0.06363213807344437,40,3,7,0.08685555309057236,Document
8,"Dear aspiring Data analysts, we've got covered this year.

Data skills have become so important in every field and industry.

But finding a good platform that focuses on in-demand skills such as Microsoft Power BI, SQL, Python, and Modern Excel has become a nightmare for many aspiring Analysts.

This year, we want to make it easy for you to learn premium Data skills from Microsoft and Google Certified Analysts and Trainers.

Our Bootcamps are highly practical and focus on the key skills you need to become a world-class Analyst.


Join our free information session and learn more about our upcoming Bootcamps this year.

Register Now ☞ bit.ly/festmaninfo

Got questions? Call us on 0541239290
#powerbidesktop #dataanalytics #dataanalyst",Organic,01/05/2022,All followers,2133,94,0.04406938701868057,36,0,5,0.06329113990068436,Document
9,"🏆 FestMan Power BI Data Challenge Winners 🏅

We are super excited to announce the winner of the Global Financial Inclusion Data Challenge.

The winner of the December Edition of our Power BI Data challenge is 🥇 Santhanalakshmi Ponnurasan  🥇. She has won our Data challenge 2X.

👏👏👏Congratulations Santhanalakshmi Ponnurasan. 

​
🕺The runners up are:

Mina Saad
Dinesh Kumar Mani
Papri Banerjee
Gliceria W.


👏👏👏 Congratulations to all the participants.

Our 2022 edition will kickstart soon. 

Follow ​us and stay updated.

#powerbi #dashboards #powerbidesktop",Organic,01/03/2022,All followers,5945,6514,1.0957106351852417,67,11,4,1.1095037460327148,Document
