,Date,Impressions (total),Unique impressions (organic),Clicks (total),Reactions (total),Comments (total),Shares (total),Engagement rate (total)
0,03/01/2021,37,23,1,1,0,0,0.05405405405405406
1,03/02/2021,38,23,0,0,0,0,0.0
2,03/03/2021,163,101,2,8,0,2,0.0736196319018405
3,03/04/2021,50,30,0,1,0,0,0.02
4,03/05/2021,246,144,16,8,0,1,0.1016260162601626
5,03/06/2021,70,45,0,1,0,0,0.014285714285714285
6,03/07/2021,21,16,0,0,0,0,0.0
7,03/08/2021,23,15,0,2,0,0,0.08695652173913043
8,03/09/2021,16,13,1,0,0,0,0.0625
9,03/10/2021,197,148,7,8,0,1,0.08121827411167512
10,03/11/2021,183,131,2,3,0,0,0.0273224043715847
11,03/12/2021,38,29,2,1,0,0,0.07894736842105263
12,03/13/2021,314,144,14,12,0,1,0.08598726114649681
13,03/14/2021,255,140,6,3,0,0,0.03529411764705882
14,03/15/2021,80,47,7,2,0,0,0.1125
15,03/16/2021,75,37,8,1,2,0,0.14666666666666667
16,03/17/2021,67,21,3,0,0,0,0.04477611940298507
17,03/18/2021,45,28,1,0,0,0,0.022222222222222223
18,03/19/2021,174,20,5,1,0,0,0.034482758620689655
19,03/20/2021,40,15,0,0,0,1,0.025
20,03/21/2021,19,11,0,0,0,0,0.0
21,03/22/2021,10,8,0,0,0,0,0.0
22,03/23/2021,14,13,2,0,0,0,0.14285714285714285
23,03/24/2021,128,69,3,5,0,2,0.078125
24,03/25/2021,96,62,2,2,0,2,0.0625
25,03/26/2021,31,24,0,1,0,0,0.03225806451612903
26,03/27/2021,62,43,1,5,0,0,0.0967741935483871
27,03/28/2021,182,104,7,3,0,0,0.054945054945054944
28,03/29/2021,31,24,1,1,0,0,0.06451612903225806
29,03/30/2021,17,13,1,0,0,0,0.058823529411764705
30,03/31/2021,14,10,0,0,0,0,0.0
31,04/01/2021,13,9,0,0,0,0,0.0
32,04/02/2021,271,107,12,10,0,0,0.08118081180811808
33,04/03/2021,250,171,19,12,4,3,0.152
34,04/04/2021,186,111,19,3,1,1,0.12903225806451613
35,04/05/2021,162,54,17,8,0,2,0.16666666666666666
36,04/06/2021,100,47,5,3,0,1,0.09
37,04/07/2021,74,43,3,0,0,0,0.04054054054054054
38,04/08/2021,630,391,31,36,1,7,0.11904761904761904
39,04/09/2021,744,472,62,30,2,6,0.13440860215053763
40,04/10/2021,873,443,59,33,3,4,0.1134020618556701
41,04/11/2021,517,281,51,11,1,1,0.12379110251450677
42,04/12/2021,276,148,19,8,0,0,0.09782608695652174
43,04/13/2021,259,165,9,8,0,1,0.0694980694980695
44,04/14/2021,130,58,6,5,0,1,0.09230769230769231
45,04/15/2021,34,31,4,3,1,0,0.23529411764705882
46,04/16/2021,77,38,2,2,0,0,0.05194805194805195
47,04/17/2021,66,39,1,1,0,0,0.030303030303030304
48,04/18/2021,67,39,1,0,0,0,0.014925373134328358
49,04/19/2021,258,154,17,14,6,8,0.1744186046511628
50,04/20/2021,62,44,3,2,0,1,0.0967741935483871
51,04/21/2021,172,111,14,10,1,1,0.1511627906976744
52,04/22/2021,587,382,43,33,2,6,0.14310051107325383
53,04/23/2021,373,177,15,26,0,2,0.11528150134048257
54,04/24/2021,85,47,2,0,0,1,0.03529411764705882
55,04/25/2021,70,26,2,2,0,1,0.07142857142857142
56,04/26/2021,305,134,44,19,2,8,0.23934426229508196
57,04/27/2021,1325,809,54,32,8,10,0.07849056603773585
58,04/28/2021,558,384,21,10,4,0,0.06272401433691756
59,04/29/2021,138,96,10,4,0,1,0.10869565217391304
60,04/30/2021,542,273,16,19,1,4,0.07380073800738007
61,05/01/2021,548,272,42,21,5,5,0.1332116788321168
62,05/02/2021,429,207,21,4,0,1,0.06060606060606061
63,05/03/2021,380,167,15,24,2,11,0.1368421052631579
64,05/04/2021,497,224,53,25,5,8,0.18309859154929578
65,05/05/2021,762,363,51,36,1,6,0.12335958005249344
66,05/06/2021,482,230,31,7,0,2,0.08298755186721991
67,05/07/2021,720,324,45,23,5,4,0.10694444444444444
68,05/08/2021,714,354,31,24,1,5,0.08543417366946779
69,05/09/2021,452,199,13,6,0,3,0.048672566371681415
70,05/10/2021,736,227,43,12,0,7,0.08423913043478261
71,05/11/2021,292,128,32,9,0,4,0.1541095890410959
72,05/12/2021,349,161,16,10,0,1,0.07736389684813753
73,05/13/2021,305,134,22,5,2,0,0.09508196721311475
74,05/14/2021,1265,368,109,13,3,2,0.10039525691699605
75,05/15/2021,1570,689,106,32,1,5,0.09171974522292993
76,05/16/2021,1717,615,163,34,1,2,0.11648223645894001
77,05/17/2021,1999,665,229,48,6,2,0.1425712856428214
78,05/18/2021,3594,1310,407,57,2,0,0.1296605453533667
79,05/19/2021,4987,2097,845,82,3,3,0.187086424704231
80,05/20/2021,4196,1564,788,59,1,4,0.20305052430886558
81,05/21/2021,3706,1118,295,60,0,1,0.0960604425256341
82,05/22/2021,9172,2231,1133,137,34,4,0.14260793720017445
83,05/23/2021,3706,1406,383,55,1,0,0.11845655693470049
84,05/24/2021,3071,1211,257,29,2,6,0.09573428850537284
85,05/25/2021,1317,575,91,33,0,0,0.09415337889141989
86,05/26/2021,3928,1422,305,61,5,4,0.0954684317718941
87,05/27/2021,1704,441,181,18,0,0,0.11678403755868545
88,05/28/2021,2316,611,2680,41,3,1,1.1765975820379966
89,05/29/2021,6909,3584,3975,98,28,7,0.5945867708785642
90,05/30/2021,3916,2460,1144,34,1,1,0.30132788559754853
91,05/31/2021,1654,844,517,28,2,7,0.3349455864570738
92,06/01/2021,1112,560,295,23,1,0,0.2868705035971223
93,06/02/2021,1195,682,306,7,1,0,0.26276150627615064
94,06/03/2021,749,353,131,16,0,3,0.20026702269692923
95,06/04/2021,786,396,62,17,0,1,0.10178117048346055
96,06/05/2021,563,245,105,12,0,0,0.20781527531083482
97,06/06/2021,329,198,27,2,0,0,0.08814589665653495
98,06/07/2021,256,157,42,0,0,0,0.1640625
99,06/08/2021,588,139,124,3,0,0,0.21598639455782312
100,06/09/2021,231,112,98,1,0,0,0.42857142857142855
101,06/10/2021,707,353,49,18,0,7,0.10466760961810467
102,06/11/2021,302,168,16,3,0,0,0.06291390728476821
103,06/12/2021,252,136,74,1,0,0,0.2976190476190476
104,06/13/2021,250,138,59,2,0,0,0.244
105,06/14/2021,246,133,58,0,0,0,0.23577235772357724
106,06/15/2021,312,99,30,0,0,0,0.09615384615384616
107,06/16/2021,251,96,62,0,0,0,0.24701195219123506
108,06/17/2021,116,69,6,1,0,0,0.0603448275862069
109,06/18/2021,1248,742,77,20,1,4,0.08173076923076923
110,06/19/2021,556,310,28,1,0,0,0.052158273381294966
111,06/20/2021,382,182,25,3,0,0,0.07329842931937172
112,06/21/2021,334,179,58,4,0,0,0.18562874251497005
113,06/22/2021,305,153,10,0,0,0,0.03278688524590164
114,06/23/2021,476,272,20,8,0,2,0.06302521008403361
115,06/24/2021,332,180,18,4,0,1,0.06927710843373494
116,06/25/2021,173,121,12,1,0,0,0.07514450867052024
117,06/26/2021,205,105,5,4,0,0,0.04390243902439024
118,06/27/2021,223,87,24,2,0,0,0.11659192825112108
119,06/28/2021,187,109,15,2,0,2,0.10160427807486631
120,06/29/2021,147,106,4,2,0,0,0.04081632653061224
121,06/30/2021,121,79,3,0,0,0,0.024793388429752067
122,07/01/2021,124,83,6,1,0,0,0.056451612903225805
123,07/02/2021,549,297,20,16,1,7,0.08014571948998178
124,07/03/2021,841,433,37,16,1,4,0.06896551724137931
125,07/04/2021,241,150,7,8,1,0,0.06639004149377593
126,07/05/2021,177,111,4,2,0,0,0.03389830508474576
127,07/06/2021,680,364,14,21,0,1,0.052941176470588235
128,07/07/2021,362,151,7,5,0,1,0.03591160220994475
129,07/08/2021,235,100,18,3,0,0,0.08936170212765958
130,07/09/2021,95,62,4,0,0,0,0.042105263157894736
131,07/10/2021,1072,585,96,27,1,4,0.11940298507462686
132,07/11/2021,309,189,29,6,0,1,0.11650485436893204
133,07/12/2021,452,167,22,14,0,2,0.084070796460177
134,07/13/2021,406,241,13,13,0,1,0.0665024630541872
135,07/14/2021,136,85,9,7,0,1,0.125
136,07/15/2021,114,84,4,2,0,0,0.05263157894736842
137,07/16/2021,94,69,9,0,0,1,0.10638297872340426
138,07/17/2021,212,112,12,4,0,0,0.07547169811320754
139,07/18/2021,211,137,13,5,0,0,0.08530805687203792
140,07/19/2021,129,74,9,1,0,0,0.07751937984496124
141,07/20/2021,713,309,40,18,0,4,0.08695652173913043
142,07/21/2021,519,280,33,21,2,2,0.11175337186897881
143,07/22/2021,355,223,18,8,0,2,0.07887323943661972
144,07/23/2021,647,294,28,14,1,2,0.0695517774343122
145,07/24/2021,297,131,15,3,1,0,0.06397306397306397
146,07/25/2021,92,40,3,2,0,0,0.05434782608695652
147,07/26/2021,88,43,6,0,0,0,0.06818181818181818
148,07/27/2021,174,46,29,1,0,0,0.1724137931034483
149,07/28/2021,107,55,9,0,0,0,0.08411214953271028
150,07/29/2021,112,33,13,1,2,0,0.14285714285714285
151,07/30/2021,74,39,11,0,1,0,0.16216216216216217
152,07/31/2021,124,47,13,0,0,0,0.10483870967741936
153,08/01/2021,921,648,8,11,1,1,0.02280130293159609
154,08/02/2021,1036,736,19,11,4,1,0.033783783783783786
155,08/03/2021,170,92,4,8,1,1,0.08235294117647059
156,08/04/2021,1357,727,58,41,4,0,0.0759027266028003
157,08/05/2021,784,386,37,12,2,0,0.06505102040816327
158,08/06/2021,292,155,13,2,0,0,0.05136986301369863
159,08/07/2021,290,132,22,6,1,0,0.1
160,08/08/2021,278,111,22,3,0,0,0.08992805755395683
161,08/09/2021,201,89,27,0,0,0,0.13432835820895522
162,08/10/2021,326,81,39,-1,2,0,0.12269938650306748
163,08/11/2021,234,88,70,7,1,0,0.3333333333333333
164,08/12/2021,1207,731,692,15,0,1,0.5865782932891467
