,Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
0,03/01/2021,1,0,1,1,0,1,1,0,1,1,0,1,5,0,5,1,0,1
1,03/02/2021,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,1,0,1
2,03/03/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1
3,03/04/2021,0,6,6,0,2,2,0,0,0,0,0,0,0,12,12,0,2,2
4,03/05/2021,0,4,4,0,2,2,0,0,0,0,0,0,0,5,5,0,2,2
5,03/06/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,03/07/2021,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,1,0,1
7,03/08/2021,1,2,3,1,1,2,0,0,0,0,0,0,1,3,4,1,1,2
8,03/09/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,03/10/2021,1,6,7,1,2,3,0,0,0,0,0,0,1,7,8,1,2,3
10,03/11/2021,1,11,12,1,4,5,0,0,0,0,0,0,1,16,17,1,4,5
11,03/12/2021,1,7,8,1,2,3,0,0,0,0,0,0,2,11,13,1,2,3
12,03/13/2021,2,14,16,1,3,4,0,0,0,0,0,0,2,30,32,1,3,4
13,03/14/2021,1,18,19,1,8,9,0,0,0,0,0,0,1,31,32,1,8,9
14,03/15/2021,0,24,24,0,8,8,0,3,3,0,1,1,0,39,39,0,8,8
15,03/16/2021,0,7,7,0,2,2,0,0,0,0,0,0,0,8,8,0,2,2
16,03/17/2021,7,0,7,1,0,1,0,0,0,0,0,0,7,0,7,1,0,1
17,03/18/2021,0,3,3,0,1,1,0,0,0,0,0,0,0,4,4,0,1,1
18,03/19/2021,0,3,3,0,2,2,0,1,1,0,1,1,0,7,7,0,2,2
19,03/20/2021,0,5,5,0,1,1,0,0,0,0,0,0,0,7,7,0,1,1
20,03/21/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1
21,03/22/2021,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,0,1,1
22,03/23/2021,2,7,9,2,4,6,0,0,0,0,0,0,2,8,10,2,4,6
23,03/24/2021,0,3,3,0,2,2,0,0,0,0,0,0,0,5,5,0,2,2
24,03/25/2021,1,8,9,1,2,3,0,0,0,0,0,0,1,11,12,1,2,3
25,03/26/2021,1,9,10,1,5,6,0,0,0,0,0,0,1,12,13,1,5,6
26,03/27/2021,1,6,7,1,1,2,0,0,0,0,0,0,1,10,11,1,1,2
27,03/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,03/29/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,03/30/2021,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
30,03/31/2021,1,6,7,1,3,4,0,0,0,0,0,0,1,10,11,1,3,4
31,04/01/2021,0,3,3,0,1,1,0,0,0,0,0,0,0,4,4,0,1,1
32,04/02/2021,3,7,10,1,3,4,0,0,0,0,0,0,3,11,14,1,3,4
33,04/03/2021,1,4,5,1,1,2,0,0,0,0,0,0,3,4,7,1,1,2
34,04/04/2021,1,4,5,1,2,3,0,0,0,0,0,0,1,7,8,1,2,3
35,04/05/2021,0,30,30,0,6,6,0,0,0,0,0,0,0,43,43,0,6,6
36,04/06/2021,3,9,12,2,4,6,1,0,1,1,0,1,4,12,16,2,4,6
37,04/07/2021,0,16,16,0,4,4,0,0,0,0,0,0,0,31,31,0,4,4
38,04/08/2021,4,15,19,2,5,7,0,1,1,0,1,1,4,25,29,2,5,7
39,04/09/2021,0,24,24,0,9,9,0,0,0,0,0,0,0,34,34,0,9,9
40,04/10/2021,4,33,37,2,6,8,0,0,0,0,0,0,5,48,53,2,6,8
41,04/11/2021,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1
42,04/12/2021,1,10,11,1,2,3,0,0,0,0,0,0,1,14,15,1,2,3
43,04/13/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,04/14/2021,0,13,13,0,9,9,0,2,2,0,1,1,0,21,21,0,9,9
45,04/15/2021,3,9,12,2,4,6,0,0,0,0,0,0,3,11,14,2,4,6
46,04/16/2021,0,9,9,0,4,4,0,0,0,0,0,0,0,14,14,0,4,4
47,04/17/2021,1,3,4,1,1,2,0,0,0,0,0,0,1,7,8,1,1,2
48,04/18/2021,1,3,4,1,1,2,0,1,1,0,1,1,3,4,7,1,1,2
49,04/19/2021,3,19,22,1,7,8,0,0,0,0,0,0,3,26,29,1,7,8
50,04/20/2021,2,0,2,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2
51,04/21/2021,5,15,20,1,5,6,1,0,1,1,0,1,8,20,28,1,5,6
52,04/22/2021,3,26,29,3,10,13,0,0,0,0,0,0,3,34,37,3,10,13
53,04/23/2021,4,25,29,1,6,7,0,0,0,0,0,0,4,33,37,1,6,7
