,Industry,Total views
0,Defense & Space,12
1,Computer Hardware,5
2,Computer Software,910
3,Computer Networking,16
4,Internet,577
5,Semiconductors,43
6,Telecommunications,594
7,Law Practice,26
8,Legal Services,40
9,Management Consulting,728
10,Biotechnology,40
11,Medical Practice,23
12,Hospital & Health Care,341
13,Pharmaceuticals,404
14,Veterinary,3
15,Medical Devices,17
16,Cosmetics,34
17,Apparel & Fashion,114
18,Sporting Goods,7
19,Supermarkets,48
20,Food Production,102
21,Consumer Electronics,40
22,Consumer Goods,187
23,Furniture,4
24,Retail,209
25,Entertainment,21
26,Gambling & Casinos,1
27,"Leisure, Travel & Tourism",49
28,Hospitality,46
29,Restaurants,4
30,Sports,50
31,Food & Beverages,300
32,Motion Pictures and Film,11
33,Broadcast Media,23
34,Fine Art,13
35,Banking,587
36,Insurance,232
37,Financial Services,1166
38,Real Estate,72
39,Investment Banking,17
40,Investment Management,102
41,Accounting,850
42,Construction,82
43,Building Materials,112
44,Architecture & Planning,9
45,Civil Engineering,109
46,Aviation & Aerospace,50
47,Automotive,262
48,Chemicals,205
49,Machinery,21
50,Mining & Metals,151
51,Oil & Energy,367
52,Utilities,133
53,Textiles,34
54,Farming,60
55,Dairy,2
56,Primary/Secondary Education,12
57,Higher Education,533
58,Education Management,1208
59,Research,242
60,Military,25
61,Judiciary,4
62,International Affairs,29
63,Government Administration,136
64,Executive Office,13
65,Public Safety,45
66,Public Policy,53
67,Marketing and Advertising,201
68,Newspapers,4
69,Publishing,26
70,Printing,22
71,Information Services,74
72,Environmental Services,74
73,Package/Freight Delivery,10
74,Individual & Family Services,11
75,Religious Institutions,7
76,Civic & Social Organization,87
77,Consumer Services,70
78,Transportation/Trucking/Railroad,67
79,Airlines/Aviation,50
80,Maritime,56
81,Information Technology and Services,6438
82,Market Research,201
83,Public Relations and Communications,20
84,Design,54
85,Nonprofit Organization Management,403
86,Program Development,26
87,Writing and Editing,4
88,Staffing and Recruiting,30
89,Professional Training & Coaching,88
90,Venture Capital & Private Equity,51
91,Translation and Localization,14
92,Computer Games,3
93,Events Services,15
94,Arts and Crafts,7
95,Electrical/Electronic Manufacturing,210
96,Online Media,32
97,Music,4
98,Logistics and Supply Chain,188
99,Plastics,65
100,Computer & Network Security,25
101,Wireless,1
102,Alternative Dispute Resolution,3
103,Security and Investigations,51
104,Facilities Services,33
105,Outsourcing/Offshoring,140
106,"Health, Wellness and Fitness",69
107,Media Production,40
108,Commercial Real Estate,3
109,Capital Markets,31
110,Think Tanks,22
111,Philanthropy,15
112,E-Learning,1808
113,Wholesale,33
114,Import and Export,9
115,Mechanical or Industrial Engineering,123
116,Photography,6
117,Human Resources,95
118,Business Supplies and Equipment,73
119,Mental Health Care,3
120,Graphic Design,14
121,International Trade and Development,105
122,Wine and Spirits,3
123,Luxury Goods & Jewelry,4
124,Renewables & Environment,66
125,"Glass, Ceramics & Concrete",2
126,Packaging and Containers,36
127,Industrial Automation,44
128,Government Relations,21
